model,step,nll_val_avg,nll_val_dim1,nll_val_dim2,nll_val_dim3,nll_val_dim4,nll_val_dim5,nll_val_dim6
bidirectional,100,0.15978193283081055,0.14421001076698303,0.16651159524917603,0.17603936791419983,0.20134423673152924,0.13620667159557343,0.13437971472740173
bidirectional,200,-0.16788324217001596,-0.11100684851408005,-0.3260095417499542,-0.11337167769670486,-0.16736558079719543,-0.1867191195487976,-0.10282668471336365
bidirectional,300,-0.42882229884465534,-0.5076895952224731,-0.4690605700016022,-0.46921008825302124,-0.40896281599998474,-0.38830575346946716,-0.32970497012138367
bidirectional,400,-0.5230072885751724,-0.6880002617835999,-0.6151919960975647,-0.6114134788513184,-0.494449645280838,-0.4344406723976135,-0.2945476770401001
bidirectional,500,-0.6328480343023936,-0.7791262269020081,-0.737349271774292,-0.739047110080719,-0.5975986123085022,-0.5128087401390076,-0.43115824460983276
bidirectional,600,-0.7181813766558965,-0.961023211479187,-0.8501856923103333,-0.7944474816322327,-0.5988177061080933,-0.6067542433738708,-0.497859925031662
bidirectional,700,-0.688018798828125,-0.9387450218200684,-0.9047817587852478,-0.7599862813949585,-0.5347057580947876,-0.5981292724609375,-0.39176470041275024
bidirectional,800,-0.7537525643905004,-1.0543936491012573,-0.950624406337738,-0.8814479112625122,-0.5507709980010986,-0.6310551166534424,-0.45422330498695374
bidirectional,900,-0.773951788743337,-1.1277657747268677,-0.8765311241149902,-0.8321400284767151,-0.6732296943664551,-0.6163829565048218,-0.5176611542701721
bidirectional,1000,-0.7872875928878784,-1.1984611749649048,-0.9268317222595215,-0.8054630160331726,-0.7016392350196838,-0.6118565201759338,-0.47947388887405396
bidirectional,1100,-0.8494426161050797,-1.2890933752059937,-1.0822184085845947,-0.8330493569374084,-0.7114008069038391,-0.7188615202903748,-0.4620322287082672
bidirectional,1200,-0.6809631337722143,-1.2794345617294312,-1.0248521566390991,-0.8043575286865234,-0.47168877720832825,-0.3032745122909546,-0.20217126607894897
bidirectional,1300,-0.7628849993149439,-1.2605940103530884,-1.0314749479293823,-0.7987256050109863,-0.5233150720596313,-0.567295253276825,-0.39590510725975037
bidirectional,1400,-0.7661460340023041,-1.265555500984192,-0.9453538060188293,-0.7811922430992126,-0.5798649787902832,-0.6396570801734924,-0.38525259494781494
